subSampleID,amountSubSampled,subSampleTotal,subSampleExpansionCoef,subSampleMethod,sampleID,vesselID,vesselSerialNumber,dateCollect,timeCollect,ESTorEDT,netMesh,netDiameter,towDirection,towDepthStart,towDepthEnd,waterLayer,stationDepth,stationID,repID,flowMeterID,flowMeterRevolutions,flowMeterCalibration,collectedBy,preservationTechnique,sampleComment,processedBy,processDate,processComment,scopeUsed,species,organismCount,length,sex
,6,100,,,LT1_S1_25_08_2023,,,25_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,04_03_2024,,UVM_SZX12,Nauplii,1,0.2145,NA
,6,100,,,LT1_S1_25_08_2023,,,25_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,04_03_2024,,UVM_SZX12,Nauplii,1,0.2056,NA
,6,100,,,LT1_S1_25_08_2023,,,25_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,04_03_2024,,UVM_SZX12,Chydorus,1,0.2207,NA
,6,100,,,LT1_S1_25_08_2023,,,25_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,04_03_2024,,UVM_SZX12,Cyclopoid copedite,1,0.4461,NA
,6,100,,,LT1_S1_25_08_2023,,,25_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,04_03_2024,,UVM_SZX12,Nauplii,1,0.1771,NA
,6,100,,,LT1_S1_25_08_2023,,,25_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,04_03_2024,,UVM_SZX12,Nauplii,1,0.2137,NA
,6,100,,,LT1_S1_25_08_2023,,,25_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,04_03_2024,,UVM_SZX12,Nauplii,1,0.2171,NA
,6,100,,,LT1_S1_25_08_2023,,,25_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,04_03_2024,,UVM_SZX12,Bosmina,1,0.2964,NA
,6,100,,,LT1_S1_25_08_2023,,,25_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,04_03_2024,,UVM_SZX12,Nauplii,1,0.1685,NA
,6,100,,,LT1_S1_25_08_2023,,,25_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,04_03_2024,,UVM_SZX12,Nauplii,1,0.1785,NA
